feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,target_variable
5.88,348.0,3.28,500.0,0.29,17.14,3.55,5.98,7.75,0.44,271.68,6.45,0.36,5.7,0.02,2.1,7.66,3.58,-0.84,0.03,348.0,596.61,0.24,0.0,1.86,0.26,0.6200000000000001,0.6200000000000001,0.14583333333333348
4.28,434.9,3.06,500.0,2.79,5.39,3.02,7.93,5.18,0.38,100.05,25.36,0.2,2.41,0.02,3.95,11.09,75.72,0.29,0.19,434.9,270.46,2.14,0.0,0.0,,0.83,0.83,-0.08510638297872336
3.06,107.74,1.78,500.0,0.35,4.66,1.81,4.26,6.71,0.82,483.41,38.37,1.22,2.42,0.08,10.51,6.18,36.97,-0.18,0.05,107.74,986.87,0.34,0.0,0.0,,0.18,0.18,-0.5510204081632654
2.14,33.97,1.79,500.0,0.11,6.72,2.58,4.4,6.92,0.75,346.03,11.91,0.97,1.28,0.1,18.56,9.42,71.55,-0.12,0.12,33.97,497.67,0.09,0.0,12.27,0.04,0.5,0.5,1.169491525423729
6.01,308.19,3.22,500.0,0.07,17.14,2.98,6.17,9.61,0.61,282.4,4.67,0.61,1.82,0.02,16.42,8.83,27.69,0.04,0.03,308.19,361.97,0.11,0.0,0.0,0.17,0.6900000000000001,0.6900000000000001,0.2968749999999999
4.03,455.37,1.81,183.15,0.0,2.68,2.05,3.59,5.53,0.38,227.45,6.04,0.61,3.8,0.05,2.68,4.14,111.38,0.94,0.03,0.0,183.15,0.21,13.73,3.82,0.06,0.73,0.73,0.13043478260869565
2.55,215.88,2.63,500.0,0.82,10.51,2.88,3.35,8.24,0.56,434.36,5.68,0.12,1.95,0.04,9.45,5.82,98.09,0.38,0.04,215.88,390.67,0.94,0.0,4.07,0.01,0.35000000000000003,0.35000000000000003,-0.5833333333333334
6.31,110.72,1.26,54.48,0.64,18.56,2.77,5.63,10.77,0.23,388.29,13.39,0.16,1.02,0.01,18.56,13.94,94.85,0.32,0.09,110.72,54.48,0.31,14.43,2.29,0.02,1.04,1.04,0.2941176470588236
3.95,28.92,3.96,500.0,0.3,4.08,4.77,2.92,12.18,0.48,195.33,5.8,0.88,5.73,0.05,16.61,4.85,47.89,0.43,0.08,28.92,128.5,0.3,0.0,15.22,0.21,0.72,0.72,0.5735294117647058
3.24,1709.18,3.83,86.89,1.03,5.05,4.83,3.43,5.22,0.33,68.05,42.87,0.37,1.85,0.06,5.05,5.03,10.13,0.94,0.07,500.0,86.89,1.06,10.69,0.0,,,,-0.07843137254901968
4.28,141.04,3.71,500.0,3.68,5.39,3.68,7.48,6.63,0.77,274.42,17.89,0.6,3.22,0.02,3.95,10.48,176.96,-0.34,0.12,141.04,553.88,3.49,0.0,0.0,,0.7400000000000001,0.7400000000000001,0.5384615384615385
3.24,1699.54,4.59,70.33,0.7,5.05,4.84,3.43,5.24,0.67,84.89,55.09,0.72,4.17,0.05,5.05,5.1,11.94,0.5,0.07,500.0,70.33,0.76,10.95,0.0,,0.8600000000000001,0.8600000000000001,0.6862745098039215
3.37,67.97,3.27,500.0,0.39,4.08,3.09,2.74,8.6,0.3,368.25,12.78,0.4,2.16,0.05,16.61,4.43,50.31,0.34,0.05,67.97,338.13,0.42,0.0,18.16,,0.59,0.59,-0.1764705882352941
3.24,246.88,2.44,476.3,0.04,12.51,2.43,4.53,8.18,0.53,269.19,21.59,0.64,0.91,0.07,18.56,10.28,37.51,-0.04,0.07,246.88,379.17,0.13,0.08,5.18,0.08,0.76,0.76,0.3333333333333334
3.58,129.47,3.01,500.0,0.48,4.08,4.26,3.03,11.37,0.03,274.7,8.47,0.39,1.63,0.03,16.61,5.08,59.78,-0.09,0.06,129.47,143.09,0.64,0.0,17.16,,0.6300000000000001,0.6300000000000001,0.27450980392156865
0.87,277.54,3.01,104.23,0.22,5.47,2.56,3.68,5.46,0.4,218.22,21.85,0.38,1.89,0.02,5.47,5.22,24.27,-0.38,0.06,500.0,104.23,0.38,107.35,0.0,,0.62,0.62,-0.30909090909090914
4.28,287.45,2.95,241.39,0.66,19.44,3.3,9.77,13.52,0.18,328.39,9.55,0.19,3.14,0.02,19.67,13.99,80.0,-0.05,0.03,287.45,241.39,0.53,77.39,0.0,0.32,0.44,0.44,-0.33333333333333337
4.28,204.65,2.27,263.11,0.09,5.39,2.73,5.63,6.54,0.15,314.12,5.82,0.08,3.78,0.02,5.39,7.76,60.64,-0.63,0.06,204.65,263.11,0.12,11.51,2.63,0.16,0.55,0.55,-0.36538461538461536
1.94,88.75,2.82,410.94,0.33,0.49,2.96,0.38,5.78,0.13,358.68,7.69,0.15,1.45,0.1,0.49,0.51,15.12,0.14,0.06,88.75,410.94,0.37,2.38,39.82,0.02,0.7,0.7,0.72
0.0,2125.82,3.02,146.52,0.0,5.58,3.53,4.75,7.5,0.04,224.0,23.53,0.04,1.5,0.01,5.58,7.53,40.07,0.02,0.03,0.0,146.52,2.39,66.4,0.0,,,,-0.823529411764706
3.07,581.16,3.12,500.0,0.32,1.58,3.11,3.58,4.97,0.31,187.29,12.02,0.22,3.81,0.01,1.58,3.1,15.56,0.15,0.05,500.0,816.83,0.22,0.0,0.0,0.45,0.010000000000000009,0.010000000000000009,-0.5428571428571428
0.0,115.31,1.24,55.83,0.84,10.97,1.53,4.63,10.1,0.57,282.67,19.78,0.53,0.78,0.01,10.97,11.21,34.29,-0.02,0.03,115.31,55.83,0.75,37.37,0.0,0.02,0.6499999999999999,0.6499999999999999,-0.12727272727272737
4.03,421.57,3.13,163.1,0.0,2.68,2.05,3.51,5.34,0.15,257.37,6.33,0.36,2.42,0.04,2.68,3.86,122.83,-0.31,0.03,0.0,163.1,0.18,14.8,3.76,0.04,0.88,0.88,-0.04347826086956525
0.0,587.4,0.85,0.0,0.0,0.0,1.46,0.0,6.88,0.97,37.38,84.72,0.0,0.63,0.55,4.66,0.0,63.94,-0.17,,0.0,383.21,0.67,0.0,0.0,,0.0,0.0,-1.0
0.87,236.9,3.5,124.85,1.08,5.47,3.03,3.68,5.54,0.48,189.98,27.09,0.48,0.22,0.02,5.47,5.19,9.83,0.22,0.05,500.0,124.85,0.48,100.74,0.0,,,,
3.07,45.75,2.41,342.64,0.12,4.22,2.07,3.65,5.15,0.64,195.9,5.8,0.66,2.04,0.05,4.22,4.95,68.99,-0.25,0.01,45.75,342.64,0.12,16.37,0.0,0.16,0.73,0.73,0.08333333333333341
3.07,206.57,2.84,179.06,0.33,4.22,2.44,3.36,4.64,0.53,238.42,6.7,0.57,2.45,0.06,4.22,4.5,10.65,0.17,0.01,206.57,179.06,0.28,57.8,0.0,0.22,0.6900000000000001,0.6900000000000001,-0.04444444444444448
4.28,493.33,4.76,29.89,0.63,5.39,4.22,4.53,6.75,0.33,153.99,7.23,0.33,5.39,0.0,5.39,7.17,29.96,-0.1,0.09,493.06,29.89,0.34,22.61,0.0,0.67,0.21999999999999997,0.21999999999999997,0.4444444444444444
2.0,114.52,2.46,500.0,0.18,1.58,2.69,4.8,3.83,0.1,346.82,3.86,0.1,2.51,0.02,2.92,5.05,25.33,0.69,0.05,114.52,181.98,0.17,0.0,3.43,0.2,0.26,0.26,-0.6333333333333334
2.27,66.43,1.89,500.0,0.35,6.72,2.23,4.4,6.88,0.49,311.77,6.11,0.72,0.96,0.12,18.56,9.43,112.18,-0.1,0.15,66.43,553.09,0.29,0.0,9.09,0.03,0.45000000000000007,0.45000000000000007,0.8135593220338985
3.71,111.55,3.72,500.0,0.54,4.08,4.26,3.0,12.14,0.09,293.13,6.92,0.34,2.64,0.03,16.61,5.03,24.71,-0.04,0.06,112.08,116.6,0.72,0.0,17.61,0.03,0.64,0.64,0.057692307692307744
0.39,1139.81,1.98,0.0,1.24,0.0,2.69,0.0,7.6,2.55,413.72,6.0,0.0,0.4,0.38,5.55,0.0,62.09,-0.08,,500.0,1347.83,0.63,0.0,0.0,0.04,0.0,0.0,-1.0
3.5,238.2,1.99,443.89,0.21,6.72,1.95,4.34,7.36,0.49,214.46,7.36,0.63,1.83,0.07,6.71,8.95,66.1,0.01,0.06,238.2,443.89,0.15,0.35,6.25,0.02,0.7899999999999999,0.7899999999999999,0.717391304347826
0.87,295.94,2.9,102.04,0.35,5.47,2.46,3.69,5.46,0.26,208.65,15.21,0.25,1.8,0.02,5.47,5.25,30.46,0.04,0.06,500.0,102.04,0.25,109.11,0.0,,0.55,0.55,-0.6545454545454545
4.03,532.13,6.5,90.65,0.0,2.68,6.17,3.19,4.23,0.24,143.25,5.95,0.32,4.61,0.04,2.68,3.0,25.88,0.19,0.04,0.0,90.65,0.21,17.61,2.92,0.09,0.65,0.65,0.7826086956521737
3.95,41.74,3.96,500.0,0.28,4.08,4.77,2.91,11.66,0.48,201.71,6.26,0.89,4.93,0.05,16.61,4.83,59.67,0.1,0.08,41.74,139.17,0.29,0.0,15.54,0.19,0.73,0.73,0.7499999999999998
6.04,169.02,3.42,24.51,0.48,18.56,3.34,5.3,8.28,0.14,269.16,12.13,0.12,0.43,0.0,18.56,9.9,76.47,-0.01,0.08,169.02,24.51,0.18,14.99,1.84,0.03,1.0999999999999999,1.0999999999999999,0.41176470588235287
6.27,265.01,3.32,500.0,0.56,17.14,2.98,6.42,10.22,1.1,177.24,6.38,1.13,5.77,0.03,16.42,9.43,5.71,0.13,0.03,265.01,324.61,0.6,0.0,0.02,0.77,0.69,0.69,0.8749999999999999
3.46,27.92,3.23,477.75,0.46,4.08,2.65,2.7,8.28,0.37,387.68,9.45,0.34,1.66,0.04,16.6,4.34,50.16,0.28,0.05,27.92,389.56,0.47,0.04,16.43,0.09,0.5800000000000001,0.5800000000000001,-0.35294117647058826
4.79,29.42,2.38,500.0,0.19,6.72,3.03,4.41,7.33,0.55,253.54,7.79,0.75,2.78,0.09,18.56,9.49,114.96,-0.04,0.08,29.42,370.35,0.17,0.0,15.12,0.06,0.64,0.64,1.0
5.29,388.13,2.08,500.0,0.32,17.14,2.32,5.91,8.05,0.27,252.16,6.6,0.24,2.1,0.01,17.14,7.87,92.27,-0.22,0.03,388.13,589.81,0.24,0.0,0.9,0.09,0.63,0.63,-0.04166666666666659
3.89,64.85,3.96,500.0,0.74,4.08,3.88,2.87,11.31,1.1,247.28,19.76,1.59,2.35,0.05,16.61,4.75,102.15,-1.17,0.07,64.85,162.83,0.68,0.0,17.0,,0.7199999999999998,0.7199999999999998,1.9558823529411757
2.12,101.06,3.32,500.0,0.75,5.4,3.2,2.25,6.79,0.27,276.41,5.74,0.47,4.31,3.51,0.49,4.76,57.13,-0.56,0.21,234.34,839.15,0.56,0.0,11.31,0.08,0.19000000000000006,0.19000000000000006,0.7540983606557379
2.07,30.6,1.7,500.0,0.25,6.72,3.17,4.41,6.87,0.61,291.38,6.96,0.82,1.56,0.1,18.56,9.5,53.64,-0.07,0.12,30.6,463.14,0.22,0.0,12.24,0.02,0.4700000000000001,0.4700000000000001,0.9454545454545454
6.39,1113.47,3.57,500.0,0.44,4.26,4.02,4.06,5.99,0.12,288.02,5.26,0.22,2.89,0.03,4.26,4.63,46.11,-0.61,0.02,500.0,512.97,0.18,0.0,0.0,0.2,0.18,0.18,-0.76
5.15,400.55,2.81,500.0,0.26,17.14,2.89,5.72,8.16,0.83,292.82,7.1,0.8,1.89,0.01,16.78,7.65,9.33,-0.17,0.03,400.55,522.26,0.36,0.0,0.17,0.19,0.68,0.68,1.0192307692307692
4.54,66.94,6.82,52.63,0.65,16.61,5.78,10.05,15.72,0.72,226.48,7.35,0.86,6.51,0.08,16.61,16.88,52.85,-1.07,0.03,66.94,52.63,0.56,25.55,3.77,0.3,0.65,0.65,0.07228915662650609
0.87,221.18,2.09,179.5,0.17,5.41,2.71,3.56,5.78,0.61,134.49,21.48,0.61,0.58,0.07,5.41,5.36,67.87,0.13,0.02,221.18,179.5,0.31,73.37,2.46,,1.0,1.0,-0.06451612903225812
2.47,74.47,3.8,500.0,0.26,6.72,3.18,4.41,6.93,0.52,311.71,10.67,0.74,2.26,0.09,18.56,9.52,36.7,0.06,0.11,74.47,428.56,0.21,0.0,13.75,0.03,0.51,0.51,0.7272727272727271
2.43,92.5,2.08,500.0,0.36,6.72,2.31,4.4,6.9,0.44,299.07,20.23,0.64,1.6,0.13,18.56,9.41,139.14,0.5,0.15,92.5,581.74,0.29,0.0,8.22,,0.44999999999999996,0.44999999999999996,1.1956521739130435
2.24,68.9,4.45,500.0,0.16,6.72,3.17,4.42,6.77,0.64,291.84,6.0,0.88,2.34,0.11,18.56,9.57,15.39,0.59,0.13,68.9,458.37,0.12,0.0,10.46,0.04,0.43999999999999995,0.43999999999999995,0.8545454545454544
7.18,270.13,3.14,500.0,0.6,17.14,2.82,5.88,7.52,0.12,167.11,8.58,0.1,2.68,0.03,17.14,7.09,14.41,0.28,0.04,270.13,642.6,0.55,0.0,2.44,0.11,0.49,0.49,-0.6166666666666667
3.08,4832.94,9.37,500.0,4.26,4.26,5.94,4.02,6.93,4.23,,1303.01,3.39,12.16,,4.23,6.0,8.99,7.88,,500.0,3679.56,4.61,0.0,0.0,0.5,,,
3.46,307.23,1.86,396.22,0.73,6.72,1.82,4.27,7.13,0.08,210.68,8.62,0.17,2.02,0.08,6.72,8.45,69.69,0.2,0.06,307.23,396.22,0.66,1.8,3.69,0.03,0.7100000000000001,0.7100000000000001,-0.30909090909090914
5.84,354.14,3.91,500.0,0.15,17.14,3.55,5.99,7.71,0.49,292.4,6.51,0.39,4.16,0.02,2.1,7.71,4.73,-0.08,0.03,354.14,596.92,0.12,0.0,1.8,0.27,0.61,0.61,0.25
2.66,60.55,3.06,500.0,0.11,6.72,3.63,4.43,7.2,0.62,283.82,11.7,0.86,2.0,0.08,18.56,9.62,34.62,0.16,0.1,73.9,333.71,0.15,0.0,15.27,0.03,0.5700000000000001,0.5700000000000001,0.23076923076923067
4.72,613.13,4.31,400.94,0.53,5.47,4.43,3.85,4.73,0.14,179.22,5.8,0.18,2.6,0.04,5.38,5.19,20.44,0.56,0.05,500.0,156.98,0.18,3.58,0.0,0.21,0.86,0.86,-0.26666666666666666
0.0,2162.93,6.74,500.0,0.0,7.53,5.77,5.45,8.45,1.67,130.92,5.79,1.62,5.59,0.05,7.53,8.69,93.26,-2.89,0.04,0.0,555.54,0.48,0.0,0.0,0.15,,,
4.28,170.38,2.67,184.09,0.78,7.28,3.12,5.2,8.05,0.2,338.97,8.67,0.24,4.05,0.04,5.88,7.85,77.03,0.35,0.04,170.38,184.09,0.61,69.16,1.4,0.52,0.37,0.37,-0.673076923076923
2.27,154.28,2.62,500.0,0.73,8.72,2.67,3.22,8.34,0.45,430.98,7.34,0.21,2.29,0.04,16.61,5.51,149.35,0.18,0.05,154.28,381.77,0.82,0.0,7.18,0.02,0.47000000000000003,0.47000000000000003,-0.3055555555555555
3.09,4757.4,1.69,500.0,5.16,5.05,1.74,4.01,6.93,5.08,,873.25,4.19,4.2,,5.05,5.99,237.83,1.67,,500.0,3496.5,5.53,0.0,0.0,0.26,,,
8.0,50.57,4.81,255.27,0.45,17.14,5.36,8.29,11.96,0.35,178.64,7.2,0.31,4.55,0.09,17.14,13.97,11.8,1.49,0.04,50.57,255.27,0.44,12.44,5.68,0.25,0.68,0.68,0.05555555555555539
4.76,1095.7,2.33,361.22,0.41,4.22,2.14,5.43,4.59,0.09,127.22,8.49,0.09,2.48,0.02,4.22,4.26,13.84,0.45,0.11,500.0,361.22,0.09,18.17,0.0,0.12,0.53,0.53,-0.45
4.28,196.61,3.19,201.82,0.32,1.28,3.12,5.09,7.82,0.24,355.45,6.19,0.19,2.01,0.04,2.49,7.63,68.51,0.12,0.05,196.61,201.82,0.19,63.52,1.78,0.17,0.6900000000000001,0.6900000000000001,-0.25
6.05,27.59,5.84,500.0,0.31,0.49,4.28,0.37,6.61,0.32,255.18,8.87,0.3,2.22,0.14,0.49,0.5,27.27,0.04,0.11,27.59,594.42,0.31,0.0,30.09,0.1,0.6400000000000001,0.6400000000000001,1.3214285714285714
4.28,136.81,3.57,500.0,3.43,5.39,3.76,7.49,6.71,0.53,252.66,7.85,0.35,7.46,0.02,3.95,10.49,171.57,-0.58,0.12,136.81,572.22,3.25,0.0,0.0,0.72,0.6700000000000002,0.6700000000000002,0.2884615384615385
2.54,366.21,4.39,500.0,0.5,18.56,3.87,7.49,9.0,0.37,193.7,9.75,0.07,1.38,0.01,12.51,17.22,74.07,0.01,0.14,366.21,338.14,0.67,0.0,1.54,0.02,,,-0.9482758620689654
2.07,1316.04,2.99,0.0,10.07,0.0,3.35,0.0,7.67,20.37,,2679.09,0.0,2.4,2.04,10.9,0.0,121.13,0.53,,500.0,3447.12,17.31,0.0,0.0,0.04,0.0,0.0,-1.0
3.24,389.22,1.28,336.14,0.24,12.51,1.61,4.62,8.57,0.34,283.26,6.98,0.38,1.53,0.07,12.51,10.8,156.44,0.08,0.06,389.22,336.14,0.14,6.73,0.93,0.04,0.74,0.74,-0.0833333333333333
3.24,1711.06,3.48,74.79,0.75,5.05,4.01,3.41,5.29,0.62,73.65,53.16,0.7,3.4,0.06,5.05,5.12,21.32,0.25,0.07,500.0,74.79,0.79,10.87,0.0,,0.6900000000000001,0.6900000000000001,0.5882352941176472
3.79,344.52,2.12,500.0,0.1,4.22,2.5,5.32,5.09,0.44,347.99,13.43,0.34,2.54,0.02,2.92,4.82,7.19,-0.2,0.03,344.52,445.5,0.13,0.0,1.04,0.23,0.55,0.55,-0.19607843137254907
0.0,626.36,0.35,382.81,0.0,2.24,1.08,1.83,3.05,0.0,346.22,5.35,1.17,0.45,0.18,2.24,2.07,42.34,-0.02,0.03,0.0,382.81,1.43,9.08,0.0,0.17,-0.03,0.03,-0.9555555555555555
0.0,664.61,1.18,218.48,0.0,2.43,1.55,1.97,3.29,0.06,326.77,5.09,0.04,0.82,0.76,2.53,2.4,11.92,0.0,0.02,0.0,218.48,2.05,144.03,0.0,0.01,0.31,0.31,-0.6818181818181818
0.33,313.88,0.35,74.33,1.2,3.96,0.45,1.65,2.61,0.3,415.18,4.04,0.1,0.08,0.12,3.96,2.46,250.35,0.0,0.01,313.88,74.33,0.6,275.58,1.45,0.0,,,-0.1384615384615384
0.0,568.6,0.51,325.15,0.0,2.24,2.02,1.85,3.0,0.0,411.39,5.66,1.0,0.12,0.14,2.24,2.09,59.14,-0.01,0.03,0.0,325.15,1.3,19.49,0.0,0.0,-0.03,0.03,-0.6
0.0,492.06,0.62,169.77,0.0,2.24,0.94,1.91,2.83,0.12,406.39,6.06,0.6,0.25,0.26,2.24,2.12,110.5,0.01,0.02,0.0,169.77,1.14,63.14,0.0,0.0,0.05000000000000002,0.05000000000000002,-0.07999999999999996
0.43,909.46,0.88,344.66,4.03,2.33,0.96,1.97,3.05,1.25,462.73,6.11,1.53,0.47,0.33,2.27,2.65,32.03,-0.02,0.01,500.0,344.66,2.53,80.31,0.0,0.09,0.42,0.42,-0.6694915254237288
0.42,1037.09,0.58,479.9,5.04,5.84,0.68,2.21,3.24,1.55,269.0,7.95,2.32,0.14,0.22,3.16,2.98,44.87,0.0,0.02,500.0,169.31,3.31,132.67,0.0,0.01,0.28,0.28,-0.52
0.42,1019.04,0.44,452.0,4.86,3.43,0.75,2.15,3.23,1.58,340.46,6.05,2.18,0.35,0.41,3.16,2.9,95.95,-0.01,0.01,500.0,225.84,3.18,127.92,0.0,0.04,0.3,0.3,-0.5272727272727273
0.43,1041.98,0.56,343.89,4.5,2.53,0.74,2.15,3.21,1.2,343.15,6.05,1.6,0.19,0.1,3.05,2.86,5.74,-0.02,0.01,500.0,329.02,2.75,123.94,0.0,0.0,0.32999999999999996,0.32999999999999996,-0.4318181818181818
0.43,1032.24,1.45,270.05,4.31,2.53,1.17,2.13,3.16,0.89,314.03,5.33,1.18,1.37,0.18,2.53,2.8,46.65,0.59,0.01,500.0,270.05,2.51,116.16,0.0,0.01,0.32,0.32,-0.5090909090909091
0.43,987.57,0.91,303.46,4.26,2.53,1.17,2.08,3.13,1.09,377.59,5.2,1.39,0.35,0.27,2.53,2.75,40.93,0.0,0.01,500.0,303.46,2.6,106.23,0.0,0.16,0.35000000000000003,0.35000000000000003,-0.6209677419354839
0.44,1038.4,1.69,281.96,4.92,2.53,1.38,2.37,3.35,0.9,245.06,5.98,1.3,0.29,0.01,2.53,3.11,29.93,0.0,0.01,500.0,281.96,2.7,132.47,0.0,0.0,0.27999999999999997,0.27999999999999997,-0.5433070866141733
0.44,948.91,1.52,280.54,5.41,5.84,1.84,2.71,3.53,1.08,237.33,5.87,1.41,0.32,0.05,5.25,3.61,24.12,0.04,0.01,500.0,280.53,2.97,143.19,0.0,0.01,0.3,0.3,-0.31764705882352945
0.45,1118.03,0.73,64.76,4.95,2.53,1.01,2.06,2.79,0.62,335.43,5.34,0.75,0.42,0.15,2.53,2.55,167.94,0.0,0.02,500.0,64.76,2.7,65.79,0.0,0.06,0.23,0.23,-0.8028169014084506
0.42,846.45,0.91,275.82,4.27,1.55,0.78,1.86,2.96,1.96,481.52,7.23,2.18,0.82,0.16,1.55,2.54,7.98,0.01,0.01,500.0,275.82,2.94,66.96,0.0,0.15,,,-1.0
0.43,1059.95,1.0,303.29,4.49,2.53,1.17,2.17,3.21,0.99,291.56,4.61,1.39,0.55,0.07,2.53,2.87,4.48,0.17,0.01,500.0,303.29,2.68,126.21,0.0,0.0,0.31,0.31,-0.38636363636363635
0.43,1027.69,1.65,356.34,5.04,4.46,1.78,2.44,3.39,1.09,265.37,6.57,1.52,0.59,0.02,3.16,3.24,90.04,0.19,0.01,500.0,297.43,2.89,144.26,0.0,0.0,0.2700000000000001,0.2700000000000001,-0.525
0.44,1041.99,1.13,211.11,4.9,2.53,1.25,2.3,3.28,0.7,247.07,5.99,1.08,0.43,0.25,2.53,2.98,41.97,0.0,0.01,500.0,211.11,2.6,112.16,0.0,0.0,0.28,0.28,-0.46078431372549017
0.44,1081.6,1.23,132.58,4.98,2.53,1.03,2.13,3.02,0.77,306.22,18.46,0.99,0.64,0.32,2.53,2.68,125.71,-0.03,0.02,500.0,132.58,2.73,88.82,0.0,,0.26,0.26,-0.6338028169014084
0.45,928.53,1.11,251.9,6.15,2.53,1.14,2.56,3.54,1.12,244.67,8.25,1.99,1.61,4.47,2.52,3.33,151.86,-0.11,0.02,500.0,251.9,3.26,51.55,0.0,0.39,0.07999999999999999,0.07999999999999999,-0.7169811320754716
0.0,1134.81,1.83,122.07,0.0,0.69,1.28,1.48,2.73,0.39,191.07,10.04,0.2,3.42,3.4,0.69,1.77,301.04,-0.57,0.02,0.0,122.07,1.89,26.68,0.0,0.52,0.16000000000000003,0.16000000000000003,0.14925373134328354
0.0,1018.29,0.91,177.16,0.0,3.16,0.95,2.19,3.27,0.63,342.48,7.17,0.23,0.37,0.5,3.16,3.18,231.0,-0.04,0.01,0.0,177.16,2.51,49.44,0.0,0.06,0.42000000000000004,0.42000000000000004,0.020000000000000018
0.0,893.87,0.49,237.87,0.0,3.16,0.63,2.27,3.22,1.02,385.18,6.67,0.05,0.26,0.22,3.16,3.23,134.78,-0.01,0.01,0.0,237.87,2.4,33.76,0.0,0.03,0.43000000000000005,0.43000000000000005,0.08333333333333341
0.0,1004.28,0.56,95.25,0.0,3.16,0.59,2.04,3.18,0.33,339.16,6.78,0.4,0.26,0.15,3.16,3.09,136.01,-0.02,0.02,0.0,95.25,2.68,53.46,0.0,0.0,0.48,0.48,0.23404255319148934
0.0,1011.62,0.82,154.04,0.0,3.16,2.07,2.26,3.37,0.04,236.73,7.02,0.26,0.44,0.25,3.16,3.24,145.87,-0.01,0.02,0.0,154.04,2.0,46.87,0.0,0.01,0.41999999999999993,0.41999999999999993,0.25641025641025633
0.0,1056.75,0.43,247.64,0.0,0.69,0.96,2.08,3.27,0.2,353.58,5.58,0.52,0.18,0.1,0.69,2.78,163.16,0.0,0.03,0.0,247.64,1.9,20.56,0.0,0.01,0.32999999999999996,0.32999999999999996,0.74
0.0,1070.52,0.57,239.69,0.0,0.69,0.96,2.05,3.26,0.28,366.49,6.09,0.71,0.26,0.07,0.69,2.69,126.3,0.0,0.03,0.0,239.69,1.9,14.29,0.0,0.01,0.30000000000000004,0.30000000000000004,0.5800000000000001
0.0,933.04,3.72,287.63,0.0,3.16,2.5,2.28,3.35,0.18,182.49,10.14,0.77,1.87,0.81,2.28,3.18,44.7,-0.58,0.03,0.0,248.3,1.97,21.38,0.0,0.19,0.37999999999999995,0.37999999999999995,0.8913043478260869
0.0,889.44,0.55,278.09,0.01,0.69,0.86,2.27,3.19,1.1,336.07,5.92,0.28,0.12,0.27,0.69,3.08,211.19,-0.03,0.01,0.0,278.09,2.2,23.34,0.0,0.02,0.38,0.38,-0.062499999999999944
0.0,1004.57,1.29,199.41,0.0,0.69,1.06,1.98,3.11,1.09,318.9,6.54,0.45,0.59,0.13,0.69,2.64,315.7,0.11,0.01,0.0,199.41,2.44,32.28,0.0,0.19,,,-0.4680851063829787
